Timestamp,Voltage,Current,Transformer_kW,Scenario,Fault_Feeder
2026-05-09 02:48:12,107.94,35.24,19.92,Ground Fault,F3
2026-05-09 03:03:12,0,0,0,Power Cut,F1
2026-05-09 03:18:12,138.68,39.43,24.83,Ground Fault,F3
2026-05-09 03:33:12,0,0,0,Power Cut,F1
2026-05-09 03:48:12,247.04,40.45,52.6,Lighting,F2
2026-05-09 04:03:12,0,0,0,Power Cut,F1
2026-05-09 04:18:12,227.66,10.82,24.86,Normal,
2026-05-09 04:33:12,122.31,37.11,11.36,Ground Fault,F3
2026-05-09 04:48:12,264.97,43.07,50.17,Lighting,F2
2026-05-09 05:03:12,245.15,48.99,66.32,Lighting,F2
2026-05-09 05:18:12,201.8,27.36,59.28,Theft,F2
2026-05-09 05:33:12,170.66,20.34,23.84,Branch Touching,F4
2026-05-09 05:48:12,197.61,26.81,40.91,Theft,F2
2026-05-09 06:03:12,0,0,0,Power Cut,F1
2026-05-09 06:18:12,0,0,0,Power Cut,F1
2026-05-09 06:33:12,0,0,0,Power Cut,F1
2026-05-09 06:48:12,0,0,0,Power Cut,F1
2026-05-09 07:03:12,253.37,39.52,61.25,Lighting,F2
2026-05-09 07:18:12,223.57,9.01,26.62,Normal,
2026-05-09 07:33:12,226.45,13.41,26.67,Normal,
2026-05-09 07:48:12,142.33,29.74,14.56,Ground Fault,F3
2026-05-09 08:03:12,199.65,29.28,40.29,Theft,F2
2026-05-09 08:18:12,222.07,11.74,23.25,Normal,
2026-05-09 08:33:12,226.82,8.32,24.34,Normal,
2026-05-09 08:48:12,164.8,31.77,23.62,Ground Fault,F3
2026-05-09 09:03:12,195.14,23.32,47.52,Theft,F2
2026-05-09 09:18:12,157.6,28.28,15.74,Branch Touching,F4
2026-05-09 09:33:12,193.33,27.16,47.79,Theft,F2
2026-05-09 09:48:12,0,0,0,Power Cut,F1
2026-05-09 10:03:12,200.13,21.38,42.37,Theft,F2
2026-05-09 10:18:12,268.75,49.93,51.04,Lighting,F2
2026-05-09 10:33:12,224.22,11.33,33.56,Normal,
2026-05-09 10:48:12,179.87,31.81,18.68,Branch Touching,F4
2026-05-09 11:03:12,0,0,0,Power Cut,F1
2026-05-09 11:18:12,269.24,49.13,65.13,Lighting,F2
2026-05-09 11:33:12,223.21,13.45,28.26,Normal,
2026-05-09 11:48:12,199.37,34.06,22.76,Branch Touching,F4
2026-05-09 12:03:12,192.45,29.94,43.88,Theft,F2
2026-05-09 12:18:12,227.38,13.9,34.35,Normal,
2026-05-09 12:33:12,203.2,20.07,49.74,Theft,F2
2026-05-09 12:48:12,157.15,20.94,24.48,Branch Touching,F4
2026-05-09 13:03:12,225.85,9.6,30.72,Normal,
2026-05-09 13:18:12,187.31,23.96,44.22,Theft,F2
2026-05-09 13:33:12,198.76,21.04,43.14,Theft,F2
2026-05-09 13:48:12,222.62,13.21,32.3,Normal,
2026-05-09 14:03:12,0,0,0,Power Cut,F1
2026-05-09 14:18:12,226.86,8.56,29.51,Normal,
2026-05-09 14:33:12,193.39,28.93,51.97,Theft,F2
2026-05-09 14:48:12,271.68,40.25,50.1,Lighting,F2
2026-05-09 15:03:12,165.87,32.47,20.83,Ground Fault,F3
2026-05-09 15:18:12,197.97,21.96,48.29,Theft,F2
2026-05-09 15:33:12,227.83,10.39,34.71,Normal,
2026-05-09 15:48:12,227.6,8.41,30.58,Normal,
2026-05-09 16:03:12,0,0,0,Power Cut,F1
2026-05-09 16:18:12,155.78,32.44,16.23,Ground Fault,F3
2026-05-09 16:33:12,0,0,0,Power Cut,F1
2026-05-09 16:48:12,0,0,0,Power Cut,F1
2026-05-09 17:03:12,0,0,0,Power Cut,F1
